YEAR,ORG_CODE,SHMI
2016,RVJ,0.9719
2016,RNL,0.9553
2016,RAP,0.8488
2016,RVW,1.0942
2016,RGN,1.0737
2016,RNS,0.9889
2016,RBZ,1.0359
2016,RJL,1.1368
2016,RTF,1.0169
2016,RX1,0.9421
2016,RTH,0.9357
2016,RW6,1.0738
2016,RK9,0.9951
2016,RD3,0.8345
2016,RHU,1.0889
2016,RHW,1.0274
2016,REF,0.9388
2016,RH8,1.0582
2016,RAL,0.8736
2016,RQ6,1.0473
2016,RA2,0.8926
2016,RD1,1.0181
2016,RM3,0.9197
2016,RNZ,1.0567
2016,RXK,1.0174
2016,RHQ,0.9826
2016,RK5,0.9875
2016,RXW,1.0154
2016,RTR,1.0377
2016,RE9,1.134
2016,RJC,1.0643
2016,RAJ,1.1935
2016,RVY,1.1869
2016,RJ7,0.8368
2016,RBN,1.0277
2016,RWJ,0.9371
2016,RTP,0.9491
2016,RMP,1.0876
2016,RBA,0.9522
2016,RNA,0.9955
2016,RAS,0.9489
2016,RTD,0.9519
2016,RQW,1.0791
2016,RCX,0.9814
2016,RFR,1.1181
2016,RDZ,0.9372
2016,RL4,1.151
2016,RKE,0.7075
2016,RA9,0.8309
2016,RWD,1.1257
2016,RRV,0.7771
2016,RM2,0.955
2016,RHM,0.9519
2016,RRK,1.0434
2016,RA7,0.9731
2016,RKB,1.0972
2016,RWE,1.0116
2016,RTX,1.0541
2016,RJE,1.0188
2016,RBK,1.0552
2016,RWW,1.0554
2016,RWG,0.9194
2016,RGR,0.9025
2016,RYR,0.954
2016,RA3,1.0535
2016,RBL,0.9561
2016,RWP,1.0667
2016,RRF,1.2035
2016,RLQ,1.2123
2016,RA4,0.9972
2016,RCB,0.9743
2017,REM,1.0002
2017,RCF,0.9408
2017,RTK,0.9453
2017,RF4,1.0246
2017,RFF,1.0015
2017,R1H,0.8993
2017,RDD,1.0424
2017,RC1,1.0134
2017,RXL,1.1125
2017,RMC,1.0865
2017,RAE,0.9375
2017,RXH,0.971
2017,RXQ,1.016
2017,RWY,0.9898
2017,RGT,0.8687
2017,RQM,0.7941
2017,RFS,0.9923
2017,RLN,0.993
2017,RJR,1.0364
2017,RXP,1.0611
2017,RJ6,0.936
2017,RN7,1.0871
2017,RP5,1.0302
2017,RBD,1.1703
2017,RWH,1.0538
2017,RJN,1.1186
2017,RVV,1.0233
2017,RXR,1.0626
2017,RDE,1.1088
2017,RXC,1.0134
2017,RVR,0.9524
2017,RDU,0.9214
2017,RR7,1.0315
2017,RLT,1.1225
2017,RTE,1.0723
2017,RN3,0.9084
2017,RJ1,0.6994
2017,RN5,1.0058
2017,RCD,0.9208
2017,RQX,0.7764
2017,RWA,1.0825
2017,RYJ,0.7413
2017,R1F,1.0755
2017,RGP,1.1639
2017,RNQ,1.0885
2017,RJZ,0.9426
2017,RAX,0.8327
2017,RXN,1.0315
2017,RR8,1.0585
2017,RJ2,0.9652
2017,R1K,0.8257
2017,RC9,1.0458
2017,RWF,1.0371
2017,R0A,0.9478
2017,RPA,1.0676
2017,RBT,1.0439
2017,RQ8,1.0973
2017,RXF,0.97
2017,RD8,0.9309
2017,RM1,1.0639
2017,RVJ,0.9419
2017,RNL,0.983
2017,RAP,0.8809
2017,RVW,1.0485
2017,RGN,1.0636
2017,RNS,1.0036
2017,RBZ,1.0677
2017,RJL,1.1732
2017,RTF,1.0147
2017,RX1,1.0445
2017,RTH,0.9202
2017,RW6,0.9967
2017,RD3,0.872
2017,RHU,1.0377
2017,RHW,1.0438
2017,REF,0.9912
2017,RH8,1.1278
2017,RAL,0.8496
2017,RQ6,1.0502
2017,RA2,0.7955
2017,RD1,0.9844
2017,RM3,0.9
2017,RNZ,1.0581
2017,RXK,1.1408
2017,RHQ,0.9617
2017,RK5,0.9878
2017,RXW,1.0263
2017,RTR,1.1068
2017,RE9,1.2321
2017,RJC,1.0051
2017,RAJ,1.0992
2017,RVY,1.18
2017,RJ7,0.8413
2017,RBN,1.0245
2017,RWJ,0.974
2017,RTP,0.955
2017,RMP,1.1501
2017,RBA,0.9168
2017,RNA,1.1093
2017,RAS,0.9366
2017,RTD,0.9359
2017,RQW,1.1366
2017,RCX,0.9869
2017,RFR,1.0656
2017,RDZ,0.9806
2017,RL4,1.2194
2017,RA9,0.9334
2017,RWD,1.1544
2017,RRV,0.7357
2017,RHM,0.9348
2017,RRK,0.9839
2017,RA7,1.0274
2017,RKB,1.1333
2017,RTG,0.9661
2017,RWE,0.9477
2017,RTX,0.9856
2017,RJE,1.0666
2017,RK9,1.0728
2017,RBK,1.107
2017,RWW,1.0768
2017,RWG,0.9645
2017,RGR,0.8685
2017,RYR,0.9653
2017,RA3,0.9911
2017,RKE,0.7573
2017,RBL,0.947
2017,RWP,1.0584
2017,RRF,1.1345
2017,RLQ,1.1211
2017,RA4,0.9778
2017,RCB,0.9902
2018,REM,0.9351
2018,RCF,0.9233
2018,RTK,1.0031
2018,RF4,0.9638
2018,RFF,0.993
2018,R1H,0.9058
2018,RDD,1.0036
2018,RC1,1.1321
2018,RXL,1.1525
2018,RMC,1.1629
2018,RAE,0.9199
2018,RXH,0.9998
2018,RXQ,1.0036
2018,RWY,1.0041
2018,RGT,0.8513
2018,RQM,0.7665
2018,RFS,0.9983
2018,RJR,1.1055
2018,RXP,1.112
2018,RJ6,0.91
2018,RN7,1.0575
2018,RP5,1.0618
2018,RBD,1.1888
2018,RWH,0.9151
2018,RJN,1.1362
2018,RVV,1.0901
2018,RXR,1.0479
2018,RDE,1.1167
2018,RXC,1.1994
2018,RVR,0.9848
2018,RDU,0.9461
2018,RR7,1.0484
2018,RLT,1.1212
2018,RTE,1.0462
2018,RN3,0.8856
2018,RJ1,0.7126
2018,RN5,1.0097
2018,RCD,0.9294
2018,RQX,0.7708
2018,RWA,1.0667
2018,RYJ,0.7069
2018,R1F,1.0291
2018,RGP,1.0852
2018,RNQ,1.0688
2018,RJZ,0.9421
2018,RAX,0.777
2018,RXN,0.9482
2018,RR8,1.0775
2018,RJ2,0.958
2018,R1K,0.8375
2018,RC9,1.0304
2018,RWF,1.0224
2018,R0A,0.9406
2018,RPA,1.0934
2018,RBT,1.0095
2018,RQ8,1.1331
2018,RXF,1.0313
2018,RD8,1.0169
2018,RM1,1.082
2018,RVJ,0.9194
2018,RNL,0.9499
2018,RAP,0.8471
2018,RVW,0.9711
2018,RGN,1.0656
2018,RNS,0.9894
2018,RBZ,0.9455
2018,RJL,1.1578
2018,RTF,1.0273
2018,RX1,1.0782
2018,RTH,0.9153
2018,RW6,1.0162
2018,RD3,0.9106
2018,RHU,1.0211
2018,RHW,1.0792
2018,REF,0.9509
2018,RH8,1.0324
2018,RAL,0.837
2018,RQ6,1.0751
2018,RA2,0.7981
2018,RD1,0.9923
2018,RM3,0.956
2018,RNZ,1.0139
2018,RXK,1.0557
2018,RHQ,0.9747
2018,RK5,0.9502
2018,RXW,0.9994
2018,RTR,1.0779
2018,R0B,1.0387
2018,RJC,0.9878
2018,RAJ,1.0677
2018,RVY,1.0191
2018,RJ7,0.8185
2018,RBN,1.036
2018,RWJ,0.9549
2018,RTP,0.9787
2018,RMP,1.2058
2018,RBA,0.9442
2018,RNA,1.1332
2018,RAS,0.9883
2018,RTD,0.9644
2018,RQW,1.1336
2018,RCX,1.0136
2018,RFR,1.127
2018,RDZ,0.9318
2018,RL4,1.1749
2018,RA9,0.9225
2018,RWD,1.0991
2018,RRV,0.7635
2018,RHM,0.9392
2018,RRK,0.9822
2018,RA7,1.0793
2018,RKB,1.0973
2018,RTG,0.9657
2018,RWE,0.9989
2018,RTX,1.0024
2018,RJE,1.0115
2018,RK9,1.139
2018,RBK,1.1093
2018,RWW,1.1043
2018,RWG,0.9855
2018,RGR,0.9082
2018,RYR,0.9693
2018,RA3,0.8845
2018,RKE,0.7679
2018,RBL,1.0749
2018,RWP,1.144
2018,RRF,1.1434
2018,RLQ,1.014
2018,RA4,0.9525
2018,RCB,0.997
