YEAR,ORG_CODE,SIMPLE_CONSULTANTS_FTE
2010,RVJ,287.03409
2010,RVL,211.20908
2010,RVN,102.225
2010,RVR,207.07567
2010,RVV,316.62213
2010,RVW,158.42727
2010,RVY,91.48181
2010,RW1,87.975
2010,RW3,421.85454
2010,RW4,63.55
2010,RW5,85.00564
2010,RW6,368.82954
2010,RWA,322.74636
2010,RWD,261.24636
2010,RWE,496.24608
2010,RWF,203.05098
2010,RWG,164.3568
2010,RWH,213.00045
2010,RWJ,149.20227
2010,RWK,117.63636
2010,RWN,78.97273
2010,RWP,228.75679
2010,RWQ,31.35909
2010,RWR,84.93636
2010,RWV,59.171
2010,RWW,118.58181
2010,RWX,53.3
2010,RWY,186.6389
2010,RX1,511.1441
2010,RX2,96.89568
2010,RX3,115.35
2010,RX4,147.92067
2010,RX8,0.1875
2010,RXA,71.38527
2010,RXC,184.90454
2010,RXE,38.76364
2010,RXF,287.89772
2010,RXG,51.4
2010,RXH,327.72218
2010,RXK,254.43636
2010,RXL,141.95909
2010,RXM,62.9
2010,RXN,246.98409
2010,RXP,229.47045
2010,RXQ,199.1749
2010,RXR,208.4625
2010,RXT,54.54182
2010,RXV,66.25027
2010,RXW,171.48763
2010,RXX,88.75
2010,RXY,93.31545
2010,RYG,61.383
2010,RYH,1.46364
2010,RYJ,489.12722
2010,RYK,31.52727
2010,RYQ,276.77771
2010,RYR,231.07045
2010,RYV,15.17727
2010,T1160,6.8
2010,T1310,207.47378
2010,T1460,36.35
2010,TAC,6.4
2010,TAD,33.963
2010,TAE,37.15
2010,TAF,37.20909
2010,TAH,42.1
2010,TAJ,19.6
2010,TAL,1.6
2010,TAM,6.89091
2010,TAN,8.59091
2011,50,4.4
2011,5A3,1.9
2011,5A4,9.75
2011,5A7,13.4
2011,5A8,1.7
2011,5A9,1.58182
2011,5AT,5
2011,5C1,1
2011,5C2,1.6
2011,5C3,4
2011,5C9,1.5
2011,5CN,4.8
2011,5CQ,31.95
2011,5D7,3.9
2011,5D8,11.77727
2011,5EF,0.6
2011,5EM,3.55
2011,5ET,0.6
2011,5F1,28.7
2011,5F5,0.6
2011,5F7,3.75
2011,5FE,2
2011,5FL,7.39091
2011,5GC,6.46364
2011,5H1,1.45455
2011,5H8,3.2039
2011,5HG,1.45
2011,5HP,5
2011,5HQ,20.2
2011,5HX,3
2011,5J2,3
2011,5J4,2
2011,5J5,4
2011,5J6,3
2011,5JE,15.3
2011,5JX,1
2011,5K3,1
2011,5K5,3.3
2011,5K7,18.55
2011,5K9,1
2011,5KF,6.366
2011,5KL,3.3
2011,5L1,47.15
2011,5L3,4.1
2011,5LA,2
2011,5LC,5.9
2011,5LD,2.8
2011,5LE,1.9
2011,5LF,3
2011,5LG,12.6
2011,5LH,3.6
2011,5LQ,2.4
2011,5M1,1
2011,5M2,1
2011,5M3,7.512
2011,5M6,4.6575
2011,5M7,0.9
2011,5MD,10.5
2011,5MK,11.7
2011,5MV,17.65455
2011,5MX,6
2011,5N1,34.25
2011,5N2,2.625
2011,5N3,7.149
2011,5N4,2.9
2011,5N5,3
2011,5N6,3
2011,5N7,1
2011,5N8,4.19545
2011,5N9,5.61169
2011,5NA,3.5
2011,5NC,1
2011,5ND,4
2011,5NE,4.8
2011,5NF,4.1
2011,5NG,10.75065
2011,5NH,5.88961
2011,5NJ,2.4
2011,5NK,2
2011,5NL,3.5
2011,5NM,8
2011,5NN,3.454
2011,5NP,7.33636
2011,5NR,1.8
2011,5NT,3.23
2011,5NV,48.544
2011,5NW,1
2011,5NX,0.6
2011,5NY,3.04545
2011,5P1,2.12267
2011,5P2,5.4
2011,5P5,24.91973
2011,5P6,3
2011,5P8,1
2011,5P9,9.402
2011,5PA,3.85
2011,5PC,10.85
2011,5PD,12.66667
2011,5PE,4.6
2011,5PF,5.69091
2011,5PG,2.8
2011,5PJ,13.75
2011,5PK,4.6
2011,5PL,3
2011,5PM,6.6
2011,5PN,1.8
2011,5PP,5.05
2011,5PQ,2.5
2011,5PR,2
2011,5PT,15
2011,5PV,1
2011,5PW,4.1
2011,5PX,2.9
2011,5PY,7.975
2011,5QA,2.0909
2011,5QC,6.37922
2011,5QD,4.338
2011,5QE,4.1
2011,5QF,4.25
2011,5QG,8.16364
2011,5QH,6.225
2011,5QJ,4.79459
2011,5QL,3.069
2011,5QM,14.465
2011,5QN,1.2
2011,5QP,1.8
2011,5QQ,3.61608
2011,5QT,83.46636
2011,5QV,7.95
2011,5QW,2
2011,AHO,26.65455
2011,NNF,6.5
2011,NNV,2
2011,NQL,9
2011,Q31,1
2011,Q32,2.45
2011,Q33,1
2011,Q34,9.68572
2011,Q35,14.62502
2011,Q36,4.1
2011,Q38,4.22455
2011,Q39,1.7
2011,R1A,53.98636
2011,R1C,9.821
2011,RA2,154.13262
2011,RA3,78.1
2011,RA4,72.125
2011,RA7,322.42086
2011,RA9,163.855
2011,RAE,246.74523
2011,RAJ,149.56136
2011,RAL,292.5457
2011,RAN,69.62727
2011,RAP,109.79727
2011,RAS,119.06227
2011,RAT,58.59091
2011,RAX,138.81408
2011,RBA,191.438
2011,RBB,7.8
2011,RBD,100.00927
2011,RBF,35.05409
2011,RBK,105
2011,RBL,185.11136
2011,RBN,170.11137
2011,RBQ,56.2
2011,RBS,147.33218
2011,RBT,92.97273
2011,RBV,89.79091
2011,RBZ,91.2923
2011,RC1,101.09545
2011,RC3,97.9701
2011,RC9,165.42772
2011,RCB,192.00909
2011,RCC,65.85
2011,RCD,91.6
2011,RCF,88.73182
2011,RCU,105.3938
2011,RCX,122.445
2011,RD1,165.45972
2011,RD3,144.4965
2011,RD7,132.18862
2011,RD8,107.25
2011,RDD,160.8409
2011,RDE,142.52
2011,RDR,24.30509
2011,RDU,159.66362
