ORG_CODE,YEAR,FINANCIAL_POSITION,OP_INCOME,OP_COST
RLQ,2011,-1958,171898,-163038
RLT,2011,45,117011,-115277
RLU,2011,115.6,88366,-87142.4
RLY,2011,891,83063,-89161
RM1,2011,14033,446529,-406477
RM2,2011,2100,385780,-377166
RM3,2011,6720.3557,393626.3816,-401846.8669
RM4,2011,482,98904,-100880
RMC,2011,-1877,283129,-291060
RMP,2011,-5727,145387,-147179
RMY,2011,-3227.9391,221038,-224622
RN3,2011,535.9,290474.6,-275273.7
RN5,2011,1173,315200.6431,-319766.6337
RN7,2011,393,169244,-154380
RNA,2011,967,285312,-273406
RNH,2011,-176,172631,-168127
RNJ,2011,2612,819715,-1068658
RNK,2011,-1077,33249,-33994
RNL,2011,1095,227483,-215126
RNN,2011,10405,167806,-160077
RNQ,2011,1110,189643,-183866
RNS,2011,504,255481,-253157
RNU,2011,5369.2039,272508.9307,-265483.1746
RNZ,2011,1139,184525,-178252
RP1,2011,2357,185117,-176599
RP4,2011,6757,365779,-341332
RP5,2011,4351,335759,-326443
RP6,2011,6751.4709,150985,-143128.3871
RP7,2011,1854,97943,-96213
RPA,2011,-972,227856,-223456
RPC,2011,2439,55887,-54344
RPG,2011,8764,200492,-193184
RPY,2011,20276,311586,-300617
RQ3,2011,10814,223958,-210843
RQ6,2011,5472,424633,-410177
RQ8,2011,-2156,262953,-253228
RQM,2011,13638,342805,-319002
RQQ,2011,186,107259,-103275
RQW,2011,461,180790,-181739
RQX,2011,6169.17,243676.51,-235066.24
RQY,2011,2158,167281,-159716
RR1,2011,6674.784,607030,-592863.48
RR7,2011,7355.562,189116.218,-179680.165
RR8,2011,4207,970709,-944494
RRD,2011,1114,105757,-102813
RRE,2011,7797.8259,167009,-165499.1741
RRF,2011,2904,246600,-238969
RRJ,2011,2161,71242,-68812
RRK,2011,-1947,586640,-601479
RRP,2011,2023,190725,-192736
RRU,2011,2751,281731,-274022
RRV,2011,12697.4113,773704.0435,-751378.7243
RT1,2011,367,164075,-159553
RT2,2011,6096,241633,-237726
RT3,2011,1807,300160,-293260
RT5,2011,6562,282464,-275783
RTD,2011,8699,858090,-834365
RTE,2011,810.6,432563,-419278.4
RTF,2011,8178,415361,-416291
RTG,2011,-2719,455258.639,-428903.639
RTH,2011,7157,788220,-751228
RTK,2011,2011,227423,-221444
RTP,2011,-6056,209582,-212394
RTQ,2011,3599,110679,-105586
RTR,2011,3173,522789,-509756
RTV,2011,2696.277,152186.277,-147167
RTX,2011,-2286,252271,-263180
RV3,2011,13703.9768,375768.3713,-358058.9293
RV5,2011,5408,364840,-352868
RV8,2011,-7534,385707,-389740
RV9,2011,3836.946,134029.972,-131456.097
RVJ,2011,9002,519430,-583849
RVL,2011,2221,351005,-339264
RVN,2011,3541,192190,-181200
RVR,2011,-12277,331320,-343567
RVV,2011,9250.5,490341.1,-473317.6
RVW,2011,6273.2,274754,-285524.8
RVY,2011,204,178182,-173861
RW1,2011,3672,322136,-314813
RW3,2011,5394,808867,-725055
RW4,2011,5.00E+03,196181,-192847
RW5,2011,7397,317721,-311081
RW6,2011,3553,578090,-573310
RWA,2011,4878,499538,-469803
RWD,2011,320,407975,-408748
RWE,2011,88,719154,-734649
RWF,2011,300,345101,-360560
RWG,2011,3657,266716,-257018
RWH,2011,3568,346402,-337607
RWJ,2011,3575,259134,-251985
RWK,2011,6966,260976,-250823
RWN,2011,3421,314103,-305398
RWP,2011,88,336594,-323272
RWR,2011,2661,211684,-206376
RWV,2011,789,140003,-138081
RWW,2011,1271,201190,-196661
RWX,2011,2845.0686,218575.0337,-213241.9651
RWY,2011,996,341260,-323667
RX1,2011,4764,784605,-818315
RX2,2011,601.8406,236249.0991,-266475.2679
RX3,2011,11250,271228,-257912
RX4,2011,7967,307973,-310842
RX5,2011,404,89727,-89838
RX6,2011,3338,106681,-102440
RX7,2011,1558,259176,-256475
RX8,2011,428,200333,-198108
RX9,2011,2409,169533,-165358
RXA,2011,3994.368,160019,-153454.632
RXC,2011,87,385281,-379129
RXE,2011,4325,170026,-166679
RXF,2011,-19217,456954,-441789
RXG,2011,6341,231055,-223486
RXH,2011,42,574218,-579622
RXK,2011,1863,424144,-411792
RXL,2011,4396,284205,-274645
RXM,2011,17.4166,118083.4166,-115664
RXN,2011,-881.0097,387271.2003,-384121.21
RXP,2011,10979,476245,-471920
RXQ,2011,2848,340397,-320266
RXR,2011,3025,389797,-364585
RXT,2011,1103,223688,-212652
RXV,2011,9826,154793,-144804
RXW,2011,59,299850,-295903
RXX,2011,-19431,147914,-163202
RXY,2011,538,178468,-173259
RY1,2011,3530,143021,-139496
RY2,2011,1804,166304,-164521
RY3,2011,637,127725,-126985
RY4,2011,1030,127203,-126082
RY5,2011,1081,108738,-107669
RY6,2011,2577,134978,-132445
RY7,2011,717,65026,-64325
RY8,2011,1419,184147,-182718
RY9,2011,1667,54480,-52821
RYA,2011,925,197299,-195237
RYC,2011,3121,226874,-222579
RYD,2011,3436,170042,-164011
RYE,2011,2108,138781,-136048
RYF,2011,1903,126672,-123828
RYG,2011,4589,207689,-198778
RYH,2011,488,143801,-142881
RYJ,2011,-8419,941690,-938288
RYK,2011,1163,67298,-63335
RYQ,2011,-65063,438949,-490765
RYR,2011,5350,367816,-351185
RYV,2011,681,158331,-157750
RYW,2011,2559,255892,-253604
RYX,2011,3835,190946,-187195
RYY,2011,1470,210135,-208666
TAD,2011,108,167091,-170101
TAE,2011,1516,103633,-101870
TAF,2011,5415,137393,-132652
TAH,2011,1991,122547,-118466
TAJ,2011,-482.4925,109386.3627,-109273.654
R1A,2012,2522,170835,-167479
R1C,2012,776,192146,-191329
R1D,2012,1496,79679,-78231
R1E,2012,2004,372746,-370789
R1F,2012,543,168757,-168243
R1G,2012,102,142157,-142082
R1H,2012,409,1324338,-1332826
RA2,2012,4787,257441,-250316
RA3,2012,2250,96789,-93529
RA4,2012,491,116369,-114452
RA7,2012,5770,514832,-500261
RA9,2012,2649,231667,-229961
RAE,2012,6107.6318,356575.4857,-347484.1263
RAJ,2012,1207,257747,-252125
RAL,2012,11956,577061,-585190
RAN,2012,2078,120802,-117641
RAP,2012,1973,183991,-176684
RAS,2012,-1822.5,194541,-192731.5
RAT,2012,6349,315771,-310421
RAX,2012,3276.03864,208643,-200147.9688
RBA,2012,3364,256322,-250597
RBB,2012,977,22075,-19161
RBD,2012,3904,152853,-146249
RBK,2012,3853,228409,-216672
RBL,2012,3241,296992,-290510
RBN,2012,700,278572,-251416
RBQ,2012,923,112036,-112788
RBS,2012,12134,188124,-216847
RBT,2012,1419,177195,-181549
RBV,2012,11687,199543,-190764
RBZ,2012,2205,220680,-219911
RC1,2012,1224,223009,-218617
RC3,2012,111,234084,-230999
RC9,2012,858,230664,-227101
RCB,2012,4908,404448,-397909
RCC,2012,11,31580,-30974
RCD,2012,612,173075,-170146
RCF,2012,1151,141432,-137968
RCU,2012,4281,153907,-148441
RCX,2012,-829,167381,-165913
RD1,2012,9240,233585,-219646
RD3,2012,1288,202421,-208078
RD7,2012,-6888.7201,241766,-253857.7831
RD8,2012,-8835.0673,162505.709,-166394.7763
RDD,2012,235,279310,-271558
RDE,2012,8981,257808,-244138
RDR,2012,1901,187995,-185515
RDU,2012,12023,279594,-267408
RDY,2012,12632,226887,-213146
RDZ,2012,3848,249180,-241482
RE9,2012,-1436.6,217479,-217379.6
REF,2012,9809,323341,-314464
REM,2012,1270,280696,-274597
REN,2012,5217,83449,-78687
REP,2012,1116.6,94787.6,-94043
RET,2012,13920.6,102515,-87567.4
RF4,2012,-39492.39837,438354,-477954.4063
RFF,2012,1313,167598,-164218
RFR,2012,-3806,234209,-237836
RFS,2012,4526,197316,-191344
RFW,2012,1742,154187,-145946
RGD,2012,5139,180170,-171804
RGM,2012,6485,134931,-127127
RGN,2012,-39038,219045,-246247
RGP,2012,3048,173174.291,-169727.4383
RGQ,2012,205,236732,-229899
