ORG_CODE,SIMPLE_ALL_STAFF_FTE,YEAR
RFF,5858.98093,2011
RFR,9424.99511,2011
RFS,7228.631,2011
RGD,5600.41824,2011
RGM,3567.94845,2011
RGN,8076.66861,2011
RGP,6379.63305,2011
RGQ,7861.88268,2011
RGR,6079.7856,2011
RGT,16967.2916,2011
RH5,2750.28909,2011
RH8,12503.17938,2011
RHA,19301.12515,2011
RHM,17038.73322,2011
RHQ,32211.28627,2011
RHU,11763.36217,2011
RHW,10273.44937,2011
RJ1,26322.83122,2011
RJ2,6409.43423,2011
RJ6,7221.571,2011
RJ7,17351.63317,2011
RJ8,3885.37023,2011
RJC,4768.44747,2011
RJE,14961.6634,2011
RJF,6533.05741,2011
RJL,12162.76231,2011
RJN,7479.69478,2011
RJR,7738.43029,2011
RJX,4085.08134,2011
RJZ,15253.98912,2011
RK5,9161.04447,2011
RK9,12609.43909,2011
RKB,14466.77899,2011
RKE,9547.66085,2011
RKL,8978.35377,2011
RL1,2741.59193,2011
RL4,14262.18145,2011
RLN,11175.52026,2011
RLQ,3757.76364,2011
RLT,4286.71788,2011
RLU,3722.4674,2011
RLY,3934.46329,2011
RM1,13527.22778,2011
RM2,11865.24047,2011
RM3,13548.05702,2011
RMC,8185.01886,2011
RMP,5132.99291,2011
RMY,5802.61485,2011
RN3,6784.2765,2011
RN5,5689.02105,2011
RN7,4817.41514,2011
RNA,8516.56878,2011
RNK,1082.64418,2011
RNL,7351.70018,2011
RNN,7581.69462,2011
RNQ,7443.164,2011
RNS,9514.50286,2011
RNU,11391.60936,2011
RNZ,6853.59496,2011
RP1,3816.0712,2011
RP4,7796.88841,2011
RP5,13502.53694,2011
RP6,3473.496,2011
RP7,4426.10719,2011
RPA,8085.03821,2011
RPC,1878.31825,2011
RPG,7239.99108,2011
RPY,6229.30819,2011
RQ3,6729.07513,2011
RQ6,13363.94221,2011
RQ8,8336.98799,2011
RQM,6661.71237,2011
RQQ,3596.34504,2011
RQW,6495.86705,2011
RQX,7350.48949,2011
RQY,5312.1153,2011
RR1,22848.30058,2011
RR7,7482.93111,2011
RR8,32122.30694,2011
RRD,4279.20298,2011
RRE,7379.34543,2011
RRF,9597.31756,2011
RRJ,1870.80158,2011
RRK,16311.37409,2011
RRP,6183.2724,2011
RRU,10826.1987,2011
RRV,15580.65021,2011
RT1,5308.46835,2011
RT2,6297.6478,2011
RT3,6663.85401,2011
RT5,6023.16029,2011
RTD,24902.90863,2011
RTE,15470.24534,2011
RTF,12429.95006,2011
RTG,16117.21449,2011
RTH,18501.86629,2011
RTK,7082.6289,2011
RTP,6955.04861,2011
RTQ,4709.40381,2011
RTR,15766.42439,2011
RTV,5171.08165,2011
RTX,9775.09844,2011
RV3,8414.84966,2011
RV5,11113.84561,2011
RV9,6236.41516,2011
RVJ,18568.61319,2011
RVN,8122.86059,2011
RVR,8982.18851,2011
RVV,16751.58025,2011
RVW,11795.30084,2011
RVY,7349.23492,2011
RW1,15111.12722,2011
RW3,22222.8152,2011
RW4,8993.585,2011
RW5,8425.50046,2011
RW6,21512.72174,2011
RWA,17259.61074,2011
RWD,15465.36794,2011
RWE,24599.88116,2011
RWF,11917.22374,2011
RWG,8512.12564,2011
RWH,11433.36211,2011
RWJ,9014.99347,2011
RWK,8399.58595,2011
RWN,7092.83968,2011
RWP,11399.21077,2011
RWR,7316.14043,2011
RWV,4974.2214,2011
RWW,8274.88599,2011
RWX,4464.45356,2011
RWY,13202.77051,2011
RX1,27209.58019,2011
RX2,9007.27512,2011
RX3,12358.36479,2011
RX4,14356.31076,2011
RX6,5333.54942,2011
RX7,11729.93474,2011
RX8,9656.09874,2011
RX9,7745.19673,2011
RXA,7313.36315,2011
RXC,13479.6318,2011
RXE,9319.99302,2011
RXF,15898.5316,2011
RXG,6336.33809,2011
RXH,14332.34271,2011
RXK,14957.04781,2011
RXL,9736.67455,2011
RXM,5228.66372,2011
RXN,15158.86826,2011
RXP,17440.13479,2011
RXQ,11810.24143,2011
RXR,13442.0568,2011
RXT,9324.13475,2011
RXV,7159.66131,2011
RXW,11055.7087,2011
RXX,6290.38466,2011
RXY,7720.11165,2011
RYA,8809.64179,2011
RYC,9223.8225,2011
RYD,6642.90525,2011
RYE,5749.22774,2011
RYF,5355.97603,2011
RYG,6806.82732,2011
RYJ,20397.60608,2011
RYK,2609.57651,2011
RYR,13355.92998,2011
T1150,333.06486,2011
T1450,6824.35329,2011
T1460,14479.02086,2011
TAD,5826.51277,2011
TAE,4159.62844,2011
TAF,4671.64704,2011
