DATE,YEAR,ORG_CODE,N_TOTAL,N_18_WEEKS,RTT_SCORE
31/03/2017,2016,RRF,16795,16074,0.957070557
31/03/2017,2016,RTD,55980,52465,0.937209718
31/03/2017,2016,RTF,19873,18611,0.936496754
31/03/2017,2016,RTR,31491,29340,0.93169477
31/03/2017,2016,RTX,19419,17435,0.89783202
31/03/2017,2016,RV9,162,160,0.987654321
31/03/2017,2016,RVW,10367,9695,0.935178933
31/03/2017,2016,RVY,10334,9723,0.940874782
31/03/2017,2016,RW3,45424,42098,0.926778795
31/03/2017,2016,RW5,123,122,0.991869919
31/03/2017,2016,RW6,31105,28678,0.921973959
31/03/2017,2016,RWA,52682,44578,0.846171368
31/03/2017,2016,RWJ,20207,18707,0.925768298
31/03/2017,2016,RWW,19722,18347,0.930280905
31/03/2017,2016,RWY,20892,19877,0.95141681
31/03/2017,2016,RX4,224,221,0.986607143
31/03/2017,2016,RXF,36137,29337,0.811827213
31/03/2017,2016,RXG,929,914,0.983853606
31/03/2017,2016,RXL,17676,16332,0.923964698
31/03/2017,2016,RXN,33521,28078,0.837624176
31/03/2017,2016,RXP,21897,20386,0.930995113
31/03/2017,2016,RXR,25807,23828,0.92331538
31/03/2017,2016,RY2,1055,1053,0.998104265
31/03/2017,2016,RY6,1431,1430,0.999301188
31/03/2017,2016,RY7,86,86,1
31/03/2017,2016,TAD,390,390,1
31/03/2017,2016,R1A,771,739,0.95849546
31/03/2017,2016,R1D,3444,3234,0.93902439
31/03/2017,2016,R1E,3831,3717,0.970242756
31/03/2017,2016,RAJ,28078,24270,0.864377805
31/03/2017,2016,RBK,15990,13626,0.852157598
31/03/2017,2016,RC1,14220,13150,0.924753868
31/03/2017,2016,RC9,19418,18036,0.928828922
31/03/2017,2016,RCX,12695,11728,0.923828279
31/03/2017,2016,RD8,11827,10946,0.925509428
31/03/2017,2016,RDD,23901,20003,0.83691059
31/03/2017,2016,RDE,23661,20568,0.86927856
31/03/2017,2016,RFS,15917,14712,0.924294779
31/03/2017,2016,RGM,4371,4045,0.925417525
31/03/2017,2016,RGN,22648,21329,0.941760862
31/03/2017,2016,RGP,12166,10670,0.877034358
31/03/2017,2016,RGQ,18531,17261,0.931466192
31/03/2017,2016,RGR,18127,16293,0.898824957
31/03/2017,2016,RGT,30427,27711,0.910737174
31/03/2017,2016,RJC,16206,14994,0.925212884
31/03/2017,2016,RJE,49085,42005,0.855760416
31/03/2017,2016,RJF,16525,15578,0.94269289
31/03/2017,2016,RK5,16403,15229,0.928427727
31/03/2017,2016,RKB,28033,24252,0.865123248
31/03/2017,2016,RL1,5909,5399,0.91369098
31/03/2017,2016,RL4,32499,29574,0.909997231
31/03/2017,2016,RLQ,13545,9766,0.721004061
31/03/2017,2016,RLT,5920,5279,0.891722973
31/03/2017,2016,RM1,39382,33323,0.846147986
31/03/2017,2016,RNA,17491,16233,0.928077297
31/03/2017,2016,RNQ,21864,16099,0.736324552
31/03/2017,2016,RNS,22215,20518,0.923610173
31/03/2017,2016,RP1,235,235,1
31/03/2017,2016,RP7,494,470,0.951417004
31/03/2017,2016,RQ3,14082,13050,0.926714955
31/03/2017,2016,RQ8,24348,22409,0.920363069
31/03/2017,2016,RQQ,7003,6536,0.933314294
31/03/2017,2016,RQW,13938,13109,0.940522313
31/03/2017,2016,RR1,46717,43156,0.923775071
31/03/2017,2016,RRJ,8601,7293,0.84792466
31/03/2017,2016,RRK,32393,30009,0.926403853
31/03/2017,2016,RT1,82,80,0.975609756
31/03/2017,2016,RT5,199,199,1
31/03/2017,2016,RTG,32064,29507,0.920253244
31/03/2017,2016,RWD,26316,23338,0.886836905
31/03/2017,2016,RWE,60186,55254,0.918054032
31/03/2017,2016,RWG,22869,20777,0.908522454
31/03/2017,2016,RWH,22862,21034,0.920041991
31/03/2017,2016,RWN,187,185,0.989304813
31/03/2017,2016,RWP,37655,31451,0.835241004
31/03/2017,2016,RX1,29932,28714,0.959307764
31/03/2017,2016,RXK,32032,29818,0.930881618
31/03/2017,2016,RXM,355,338,0.952112676
31/03/2017,2016,RXW,16190,13894,0.858184064
31/03/2017,2016,RY3,1325,1214,0.916226415
31/03/2017,2016,RY4,3383,3295,0.973987585
31/03/2017,2016,RY8,4119,4020,0.97596504
31/03/2017,2016,RYG,858,854,0.995337995
31/03/2017,2016,RYK,78,78,1
31/03/2017,2016,RYV,2134,2081,0.975164011
31/03/2017,2016,RYW,10462,9938,0.949913974
31/03/2017,2016,TAJ,156,148,0.948717949
31/03/2017,2016,R1K,42228,38864,0.920337217
31/03/2017,2016,RAL,59316,54825,0.92428687
31/03/2017,2016,RAN,5395,4956,0.91862836
31/03/2017,2016,RAP,7319,7086,0.96816505
31/03/2017,2016,RAS,21346,19684,0.922139979
31/03/2017,2016,RAT,410,410,1
31/03/2017,2016,RAX,15664,14898,0.951098059
31/03/2017,2016,RF4,36856,32508,0.88202735
31/03/2017,2016,RJ1,60407,53883,0.891999272
31/03/2017,2016,RJ2,40057,36314,0.906558155
31/03/2017,2016,RJ6,17879,16474,0.921416187
31/03/2017,2016,RJZ,86686,65997,0.76133401
31/03/2017,2016,RKE,14128,13001,0.920229332
31/03/2017,2016,RP4,6231,5723,0.918472155
31/03/2017,2016,RP6,26259,25658,0.977112609
31/03/2017,2016,RPG,908,870,0.95814978
31/03/2017,2016,RPY,1636,1580,0.965770171
31/03/2017,2016,RQM,34231,31020,0.906196138
31/03/2017,2016,RQX,16717,16257,0.972483101
31/03/2017,2016,RQY,2913,2859,0.98146241
31/03/2017,2016,RRV,40207,37587,0.934837217
31/03/2017,2016,RT3,6662,6174,0.926748724
31/03/2017,2016,RV3,327,327,1
31/03/2017,2016,RVR,26135,24047,0.920107136
31/03/2017,2016,RY9,184,184,1
31/03/2017,2016,RYJ,63407,52780,0.832400208
31/03/2017,2016,RYX,1683,1678,0.997029115
31/03/2017,2016,R1C,1114,1098,0.985637343
31/03/2017,2016,R1F,7115,6286,0.883485594
31/03/2017,2016,RA2,22504,20290,0.90161749
31/03/2017,2016,RA3,5325,5029,0.944413146
31/03/2017,2016,RA4,8776,8171,0.931061987
31/03/2017,2016,RA7,35711,32540,0.911203831
31/03/2017,2016,RA9,16709,14627,0.875396493
31/03/2017,2016,RBA,18893,16075,0.850844228
31/03/2017,2016,RBD,13305,11865,0.891770011
31/03/2017,2016,RBZ,7290,6534,0.896296296
31/03/2017,2016,RD1,21564,19480,0.903357448
31/03/2017,2016,RD3,11966,11078,0.925789738
31/03/2017,2016,RDR,3904,3808,0.975409836
31/03/2017,2016,RDU,36093,33378,0.924777658
31/03/2017,2016,RDY,908,894,0.984581498
31/03/2017,2016,RDZ,22847,20958,0.917319561
31/03/2017,2016,REF,21434,19745,0.921199963
31/03/2017,2016,RH5,1120,1106,0.9875
31/03/2017,2016,RH8,24345,22079,0.906921339
31/03/2017,2016,RHM,26927,24877,0.923868236
31/03/2017,2016,RHU,28485,26018,0.913393014
